category,sub_category,crimeaditionalinfo,processed_text
Online Gambling  Betting,Online Gambling  Betting,"He is acting like a police and demanding for money by adding sections in the text messages 
I request you to take an immediate action on him Frequently he is harassing with these messages For reference please find attached files",act like polic demand money ad section text messag request take immedi action frequent harass messag refer pleas find attach file
Online Gambling  Betting,Online Gambling  Betting,"Respected Cyber crime Ghatkopar east Mumbai


This is Irshad Gafur Shaikh I reside in Ghatkopar east with my family and i am responsible citizen of India and my family


I would like to highlight you about two fruadulant loan app which are quitely robbing to innocent and family responsible people like me


 Koko loan

I was looking for k then filling my personal details it showed k then i clicked to check tenurity and roi

It directly selected as applied itself and credited into my account of Rs  and repayment amount is showing as k with  days tenurity

Screen shots shared for your reference

 AG Loan

I was looking for k loan as per the app given limit for  days tenurity and i applied for the same then next it credited rs  into my bank account as showing repayment of k with  days tenurity

Screen shots and recording shared for your reference

None of the above have mentioned contact center or points

I tried to contact them also however its all scam


I heartly request you to help me out from the same

I am from middle class and i already having many family responaiblity

I am ready for the same credited amount only but they are not acknowledging that",respect cyber crime ghatkopar east mumbai irshad gafur shaikh resid ghatkopar east famili respons citizen india famili would like highlight two fruadul loan app quit rob innoc famili respons peopl like koko loan look k fill person detail show k click check tenur roi directli select appli credit account rs repay amount show k day tenur screen shot share refer ag loan look k loan per app given limit day tenur appli next credit rs bank account show repay k day tenur screen shot record share refer none mention contact center point tri contact also howev scam heartli request help middl class alreadi mani famili responaibl readi credit amount acknowledg
Online Gambling  Betting,Online Gambling  Betting,His name is Avaneesh Parasar staying in Patna at FLAT   RANJAN PALACE MAGISTRATE COLONY ASHIYANA DIGHA ROAD POST AASHIYANA NAGAR THANA RAJIV NAGAR DIS  PATNA PIN CODE  He took crores of rupees from thousands on people all over india for trading in Bitcoin and promised to return with profit  Capital amount but now he is not returning and arguing and using slangs when we are asking for our own money We are figiting with him from  with him and everytime he keeps giving the reason for each and everything and keeps figting for not retrning the money We are very tired of all this and need to catch him at the earliest Many people are not complaining due to scared of losing their money Even Avaneesh says frankly to complaint to police or move with legal action as police cant do anything to him it seems He is very confident about the police is not going to do anything to him We are struggling lot with him as he is not returning our amount atleast  Request you to spread awareness in media to save many people from him Along with him his partner Sanjana and Anjalli calling many people and inviting to join his online fraud business and they are taking many people money and not returning theier capital also People have to fight to get their own money from him now He also removed from FB group to those people from whomever he took money and not returning He created another new group on Facebook to trap new people and take the money Please catch him asap,name avaneesh parasar stay patna flat ranjan palac magistr coloni ashiyana digha road post aashiyana nagar thana rajiv nagar di patna pin code took crore rupe thousand peopl india trade bitcoin promis return profit capit amount return argu use slang ask money figit everytim keep give reason everyth keep figt retrn money tire need catch earliest mani peopl complain due scare lose money even avaneesh say frankli complaint polic move legal action polic cant anyth seem confid polic go anyth struggl lot return amount atleast request spread awar media save mani peopl along partner sanjana anjal call mani peopl invit join onlin fraud busi take mani peopl money return theier capit also peopl fight get money also remov fb group peopl whomev took money return creat anoth new group facebook trap new peopl take money pleas catch asap
Online Gambling  Betting,Online Gambling  Betting,He asked me with my booking details to pay advance as some offers are going on and i paid than he blockwd my contact and not recieving my calls and when i asked hotel for my vooking confirmation they denied,ask book detail pay advanc offer go paid blockwd contact reciev call ask hotel vook confirm deni
Online Gambling  Betting,Online Gambling  Betting,Website and App wwwoobicyclecom Fraudulent so called company scaming people in the name of Lime Electric Scooter Huge number of people and Huge amount of cash IN and OUT flow I am also a victim I lost  Many people lost more then  lakh PLEASE please check the domain name and the banking details Lots of people lost lots of money,websit app wwwoobicyclecom fraudul call compani scame peopl name lime electr scooter huge number peopl huge amount cash flow also victim lost mani peopl lost lakh pleas pleas check domain name bank detail lot peopl lost lot money
Online Gambling  Betting,Online Gambling  Betting,His name is Arslan Rich in Telegram He told me u may invest k you will get k To k within  hours I didnt belive him but he asked me to invest many times after that i paid  and after he send me a screenshot you won  Then he ask me money for withdrawl comisson Rs  But i paid  he told me u paid wrong amount this amount will be added in u amount so please pay exact amount which is showing next i paid  After payment he asked to pay more amount for withdraw amount from Citi Bank the amount not withdrwing because need to pay VAT Amount,name arslan rich telegram told u may invest k get k k within hour didnt beliv ask invest mani time paid send screenshot ask money withdrawl comisson rs paid told u paid wrong amount amount ad u amount pleas pay exact amount show next paid payment ask pay amount withdraw amount citi bank amount withdrw need pay vat amount
Online Gambling  Betting,Online Gambling  Betting,"Mr Rubal Pandey from Upgrad called me for good Data science course He told that if I do not want to continue I could drop off anytime There will be nominal processing charges I have to pay After his confirmation I trusted him and he ask me to complete the admission process in one day as there is no seats
He ask me to share the screen in google meet and he ask to tick few questions answers he was telling the answers for my help I trusted and then he told there was scholarship you got After complete trust he ask me to complete admission process He ask me to share all my documents on the link I shared my pan cad on his whats app

I noticed on my email about Zestmoney that he applied a loan against me I immediately called and text what app message that I do not want any loan He told it is normal admission process

Then when in my ICICI bank there was two deduction transitions  and  and refund k transaction on th Jan I immediately called Rubal but he did not pickup I send email for the stop all my admission and any program process emi I do not get any answers from him I emailed to supportstudentupgradcom  they connected and told that now nothing will happen they will not do anything Whatever you want to do do it Then I communicated with ZestMoney on customer care and email they told they cannot do anything from there end They suggested that raise a cybercrime fir",mr rubal pandey upgrad call good data scienc cours told want continu could drop anytim nomin process charg pay confirm trust ask complet admiss process one day seat ask share screen googl meet ask tick question answer tell answer help trust told scholarship got complet trust ask complet admiss process ask share document link share pan cad what app notic email zestmoney appli loan immedi call text app messag want loan told normal admiss process icici bank two deduct transit refund k transact th jan immedi call rubal pickup send email stop admiss program process emi get answer email supportstudentupgradcom connect told noth happen anyth whatev want commun zestmoney custom care email told cannot anyth end suggest rais cybercrim fir
Online Gambling  Betting,Online Gambling  Betting,He called me that saying about debit card tracking and He took my aadhar card pan card selfie and few otps after giving all the information he switched off the phone his number is  please help me,call say debit card track took aadhar card pan card selfi otp give inform switch phone number pleas help
Online Gambling  Betting,Online Gambling  Betting,Sir mere sath eak froud ho gya hai playinexch name ka eak website jisme mujhe bola Gaya ki agar aap deposit karte hai to aapko deposit ka  bonus milega jisse aap fir aapne bank account me withrawal kar sakte hai to mene rs ka deposit kar diya or mera sara rupea loss ho gaya please help me,sir mere sath eak froud ho gya hai playinexch name ka eak websit jism mujh bola gaya ki agar aap deposit kart hai aapko deposit ka bonu milega jiss aap fir aapn bank account withraw kar sakt hai mene rs ka deposit kar diya mera sara rupea loss ho gaya pleas help
Online Gambling  Betting,Online Gambling  Betting,"Hi buy apps  mai mony froud huaa hai sir 

 ka  ye apps invest kara kar fir vo daily ka intrest deta hai 

Exp lagane par daily 
 lagane par daily  deta ta is lye sir maine ismai paise invest kar deye ab bo apps band ho gya hai sir mera paisa bhi muje bapis nhi mila plz sir maine invest kya or ye apps mere paise bhi kha gya plz help me sir",hi buy app mai moni froud huaa hai sir ka ye app invest kara kar fir vo daili ka intrest deta hai exp lagan par daili lagan par daili deta ta lye sir main ismai pais invest kar dey ab bo app band ho gya hai sir mera paisa bhi muje bapi nhi mila plz sir main invest kya ye app mere pais bhi kha gya plz help sir
