category,sub_category,crimeaditionalinfo,processed_text
Report Unlawful Content,Against Interest of sovereignty or integrity of India,"The lady in the attached videos goes by the name Swathi Iyer on the social Media Platform ClubHouse 

Here she is seen sharing stage with people who abuse people just because they support the current government and PM Narendra Modi

In the video she is seen sharing stage with people who support the separatist movements of Punjab  Kashmir and Tamil Nadu

These people belong to the same group as the recently arrested Kashmiri separatist Mir Mushtaq

Request you to take cognizance and act accordingly",ladi attach video goe name swathi iyer social media platform clubhous seen share stage peopl abus peopl support current govern pm narendra modi video seen share stage peopl support separatist movement punjab kashmir tamil nadu peopl belong group recent arrest kashmiri separatist mir mushtaq request take cogniz act accordingli
Report Unlawful Content,Data Breach/Theft,"""My credit card information was stolen and used on various sites without my consent. I request immediate assistance to investigate the breach and prevent further fraudulent transactions.""",credit card inform stolen use variou site without consent request immedi assist investig breach prevent fraudul transact
Report Unlawful Content,Data Breach/Theft,"""A recent breach exposed customer data from our system, including names, emails, and addresses. This information is being misused, and we need assistance to stop the spread and ensure it doesn't happen again.""",recent breach expos custom data system includ name email address inform misus need assist stop spread ensur happen
Report Unlawful Content,Data Breach/Theft,"""After an online purchase, I discovered that my personal data, including my email and phone number, is now public on various websites. Urgent help is required to remove this information and prevent misuse.""",onlin purchas discov person data includ email phone number public variou websit urgent help requir remov inform prevent misus
Report Unlawful Content,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"""Our non-profit organization’s website has been overwhelmed by a DDOS attack, preventing donors from accessing it. We need urgent support to stop the attack and resume operations.""",non profit organ websit overwhelm ddo attack prevent donor access need urgent support stop attack resum oper
Report Unlawful Content,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"""Our streaming platform has been experiencing frequent outages due to a DDOS attack. We require immediate help to identify the sources and counter the attack to restore service.""",stream platform experienc frequent outag due ddo attack requir immedi help identifi sourc counter attack restor servic
Report Unlawful Content,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"""My gaming account server is constantly under DDOS attacks, making it impossible to play. Please help in identifying and stopping the attackers.""",game account server constantli ddo attack make imposs play pleas help identifi stop attack
Report Unlawful Content,Hacking/Defacement,"""Our e-commerce website was hacked, and the homepage was defaced with offensive images. We need urgent help to remove the content and secure our website from further attacks.""",e commerc websit hack homepag defac offens imag need urgent help remov content secur websit attack
Report Unlawful Content,Hacking/Defacement,"""A competitor hacked into our site and replaced our promotional banners with false information. Immediate action is needed to regain control and prevent data loss.""",competitor hack site replac promot banner fals inform immedi action need regain control prevent data loss
Report Unlawful Content,Hacking/Defacement,"""Someone hacked into my online portfolio and altered my projects, changing important details. I request assistance to regain control and restore my original content.""",someon hack onlin portfolio alter project chang import detail request assist regain control restor origin content
